--- TYPE COLOR TABLE: ---
Name,	,	W,	U,	B,	R,	G,	WU,	UB,	BR,	RG,	GW,	WB,	UR,	BG,	RW,	GU,	WUB,	UBR,	BRG,	RGW,	GWU,	WBG,	URW,	BGU,	RWB,	GUR,	WUBR,	UBRG,	BRGW,	RGWU,	GWUB,	WUBRG,	Total
Adventure,	0,	23,	28,	19,	22,	29,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	121
Advisor,	0,	33,	30,	8,	6,	10,	9,	4,	0,	2,	2,	13,	0,	0,	2,	3,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	124
Aetherborn,	0,	0,	0,	17,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	17
Alien,	0,	2,	8,	5,	3,	6,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	26
Ally,	0,	27,	8,	16,	16,	13,	0,	0,	0,	0,	3,	2,	0,	0,	6,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	91
Angel,	8,	193,	0,	10,	4,	0,	10,	0,	0,	0,	5,	10,	0,	0,	13,	0,	0,	0,	0,	2,	3,	0,	2,	0,	0,	0,	0,	0,	0,	0,	2,	0,	262
Antelope,	0,	3,	0,	0,	0,	8,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	11
Ape,	2,	0,	0,	2,	8,	25,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	37
Arcane,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
Archer,	0,	17,	2,	6,	13,	53,	0,	0,	2,	3,	8,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	104
Archon,	0,	15,	0,	0,	0,	0,	2,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	19
Art,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
Artificer,	2,	45,	55,	14,	52,	19,	6,	3,	5,	2,	2,	0,	13,	0,	7,	2,	2,	3,	0,	0,	2,	0,	2,	0,	0,	3,	0,	0,	0,	0,	0,	0,	239
Assassin,	0,	0,	4,	78,	6,	2,	0,	13,	5,	0,	0,	2,	2,	4,	6,	0,	0,	4,	0,	0,	0,	0,	0,	0,	4,	0,	0,	0,	0,	0,	0,	0,	130
Assembly-Worker,	11,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	11
Astartes,	0,	5,	0,	3,	5,	0,	0,	0,	2,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	17
Aura,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
Avatar,	3,	18,	13,	16,	9,	18,	0,	2,	6,	2,	2,	0,	2,	2,	0,	3,	0,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	9,	108
Azra,	0,	0,	0,	6,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	8
Badger,	0,	0,	0,	0,	2,	7,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	9
Barbarian,	0,	0,	0,	2,	35,	2,	0,	0,	0,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	42
Bard,	0,	5,	0,	0,	9,	11,	0,	0,	2,	2,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	31
Basilisk,	0,	0,	0,	0,	0,	12,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	12
Bat,	0,	5,	0,	34,	0,	0,	0,	0,	0,	0,	0,	4,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	43
Bear,	0,	0,	0,	0,	0,	40,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	40
Beast,	16,	29,	47,	38,	87,	226,	0,	0,	5,	12,	11,	0,	3,	8,	4,	14,	0,	0,	0,	8,	0,	2,	0,	3,	0,	4,	0,	0,	0,	0,	0,	0,	517
Berserker,	0,	0,	0,	22,	82,	9,	0,	0,	6,	8,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	127
Bird,	13,	148,	139,	31,	14,	12,	22,	5,	0,	0,	0,	3,	2,	0,	0,	6,	0,	0,	0,	0,	-1,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	392
Boar,	3,	0,	0,	2,	14,	25,	0,	0,	0,	5,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	49
Cat,	9,	131,	7,	15,	28,	67,	6,	0,	0,	6,	21,	4,	0,	2,	3,	0,	0,	0,	2,	7,	3,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	313
Cave,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
Centaur,	0,	6,	0,	2,	0,	53,	0,	0,	0,	6,	8,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	75
Chimera,	6,	0,	5,	0,	0,	4,	0,	0,	0,	0,	0,	0,	4,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	19
Citizen,	0,	16,	3,	6,	10,	16,	0,	0,	0,	0,	6,	0,	0,	0,	2,	0,	0,	0,	0,	0,	4,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	63
Cleric,	4,	364,	19,	111,	8,	23,	6,	3,	3,	2,	16,	31,	0,	3,	10,	0,	2,	0,	0,	0,	2,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	609
Clown,	0,	3,	0,	0,	7,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	10
Clue,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1
Cockatrice,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
Construct,	199,	0,	5,	4,	5,	0,	0,	0,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	216
Coward,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2
Crab,	2,	0,	30,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	4,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	39
Crocodile,	0,	0,	3,	12,	0,	14,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	31
Cyborg,	0,	14,	4,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	18
Cyclops,	0,	0,	0,	2,	24,	0,	0,	0,	0,	3,	0,	0,	3,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	31
Dauthi,	0,	0,	0,	11,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	11
Demon,	0,	0,	2,	149,	14,	0,	0,	4,	22,	0,	0,	2,	3,	4,	0,	0,	0,	5,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	204
Desert,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-2
Detective,	0,	11,	19,	6,	3,	8,	6,	6,	0,	0,	0,	0,	3,	0,	3,	6,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	73
Devil,	0,	0,	0,	4,	43,	0,	0,	0,	10,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	59
Dinosaur,	-1,	25,	-1,	6,	51,	76,	0,	0,	0,	11,	4,	0,	0,	2,	6,	2,	0,	0,	0,	3,	0,	0,	2,	0,	0,	2,	0,	0,	0,	0,	0,	0,	188
Djinn,	0,	0,	37,	5,	7,	3,	0,	0,	0,	0,	0,	0,	4,	0,	0,	0,	0,	0,	0,	0,	0,	0,	4,	0,	0,	0,	0,	0,	0,	0,	0,	0,	60
Doctor,	0,	0,	0,	0,	0,	0,	7,	0,	0,	0,	0,	0,	3,	0,	0,	4,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	13
Dog,	11,	36,	5,	16,	33,	29,	0,	0,	3,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	138
Dragon,	24,	25,	37,	24,	164,	27,	4,	5,	10,	11,	4,	0,	13,	2,	2,	2,	3,	3,	14,	4,	4,	4,	5,	4,	5,	5,	0,	0,	0,	0,	0,	8,	413
Drake,	2,	0,	76,	6,	6,	3,	4,	2,	0,	0,	0,	0,	4,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	105
Drone,	5,	0,	21,	13,	10,	13,	0,	2,	2,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	68
Druid,	0,	7,	0,	5,	4,	268,	0,	0,	0,	9,	13,	0,	0,	10,	0,	16,	0,	0,	0,	9,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	343
Dryad,	0,	0,	0,	0,	0,	39,	0,	0,	0,	0,	8,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	49
Dwarf,	0,	44,	0,	4,	60,	3,	0,	0,	0,	0,	0,	0,	0,	0,	12,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	123
Efreet,	0,	0,	5,	0,	15,	2,	0,	0,	0,	0,	0,	0,	4,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	26
Egg,	3,	0,	2,	0,	4,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	11
Elder,	0,	2,	2,	5,	3,	3,	0,	0,	3,	2,	0,	0,	0,	2,	2,	2,	2,	2,	2,	3,	2,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	39
Eldrazi,	90,	3,	26,	22,	15,	19,	0,	4,	3,	2,	0,	0,	0,	2,	0,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	189
Elemental,	8,	27,	102,	34,	196,	131,	4,	2,	16,	15,	12,	3,	8,	8,	7,	5,	0,	0,	0,	0,	0,	0,	2,	3,	0,	6,	0,	0,	0,	0,	0,	3,	592
Elephant,	3,	34,	0,	0,	2,	36,	0,	0,	0,	0,	5,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	82
Elf,	2,	16,	9,	0,	3,	399,	0,	3,	2,	14,	40,	3,	0,	35,	0,	30,	0,	0,	0,	13,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	571
Elk,	0,	8,	3,	0,	0,	22,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	33
Employee,	0,	4,	2,	5,	5,	4,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	20
Equipment,	0,	4,	4,	3,	8,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	21
Eye,	0,	0,	3,	5,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	8
Faerie,	0,	11,	0,	26,	2,	13,	3,	15,	0,	0,	0,	0,	2,	0,	0,	4,	0,	0,	0,	0,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	79
Fish,	3,	0,	36,	2,	2,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	47
Food,	2,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	3
Fox,	3,	38,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	43
Frog,	5,	0,	14,	10,	0,	22,	0,	0,	0,	0,	0,	0,	0,	5,	0,	10,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	66
Fungus,	0,	0,	0,	13,	0,	43,	0,	0,	0,	0,	0,	0,	0,	8,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	66
Gargoyle,	13,	12,	2,	0,	2,	0,	4,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	33
Gate,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0
Giant,	0,	38,	18,	22,	86,	29,	0,	0,	3,	9,	0,	2,	2,	0,	7,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	218
Gnome,	13,	6,	4,	0,	3,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	30
Goat,	0,	6,	0,	0,	7,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	15
Goblin,	4,	0,	0,	36,	398,	9,	0,	0,	11,	20,	0,	0,	10,	0,	5,	0,	0,	0,	3,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	498
God,	-1,	0,	8,	9,	9,	8,	3,	3,	2,	3,	0,	3,	2,	0,	2,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	56
Golem,	143,	5,	0,	2,	3,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	156
Gorgon,	0,	0,	0,	18,	0,	0,	0,	0,	0,	0,	0,	0,	0,	6,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	24
Gremlin,	0,	0,	0,	2,	11,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	13
Griffin,	0,	45,	3,	0,	0,	0,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	51
Guest,	0,	2,	3,	6,	4,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	18
Gus,	0,	0,	0,	0,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	-1
Hag,	0,	0,	2,	2,	0,	0,	0,	0,	0,	0,	0,	3,	0,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	10
Halfling,	0,	11,	0,	8,	0,	8,	0,	0,	0,	0,	6,	2,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	37
Harpy,	0,	0,	0,	10,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	10
Hellion,	0,	0,	0,	0,	17,	0,	0,	0,	0,	4,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	21
Hippo,	0,	0,	0,	0,	0,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	5
Hippogriff,	0,	6,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	8
Homarid,	0,	0,	9,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	9
Homunculus,	2,	2,	22,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	26
Horror,	14,	10,	46,	170,	11,	27,	0,	11,	9,	0,	0,	0,	6,	13,	0,	2,	2,	3,	0,	0,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	326
Horse,	6,	10,	7,	10,	6,	8,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	47
Human,	5,	1113,	556,	473,	543,	385,	84,	68,	48,	48,	63,	62,	47,	21,	97,	31,	19,	16,	7,	17,	20,	10,	17,	5,	14,	12,	0,	0,	0,	3,	0,	4,	3788
Hydra,	0,	0,	0,	0,	6,	48,	0,	0,	0,	3,	2,	0,	0,	2,	0,	4,	0,	0,	-1,	0,	-1,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	63
Illusion,	0,	2,	89,	3,	0,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	96
Imp,	0,	0,	0,	38,	3,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	41
Incarnation,	0,	5,	3,	3,	3,	4,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	18
Insect,	32,	5,	8,	64,	21,	92,	0,	3,	2,	0,	0,	0,	0,	8,	0,	0,	0,	0,	3,	0,	0,	2,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	240
Jackal,	0,	0,	0,	5,	14,	5,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	24
Jellyfish,	0,	0,	13,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	13
Juggernaut,	20,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	20
Kavu,	0,	0,	0,	0,	22,	16,	0,	0,	0,	6,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	44
Kirin,	0,	7,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	7
Kithkin,	0,	49,	2,	0,	0,	2,	8,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	61
Knight,	4,	219,	22,	71,	51,	17,	16,	2,	6,	2,	25,	20,	0,	2,	18,	0,	3,	0,	0,	0,	2,	0,	2,	0,	3,	0,	0,	0,	0,	0,	0,	0,	485
